tweet,fake,confidence,reason,latitude,longitude,timestamp
earthquake felt,False,high,"The tweet text matches the disaster type 'earthquake'. There is a seismic sensor at 37.37233867748938,-122.36487559246946 with a risk score of 83.33943511129746, which is above the threshold of 70. The timestamp difference between the tweet and the sensor data is within ±10 minutes and the distance is less than ~5 km.",37.6952337177362,-122.47369462856288,2023-01-01 03:18:00
flood near river,False,high,"The tweet text matches the disaster type (flood) and there is a sensor reading within the specified time and distance range (2023-01-01 07:17:00,37.608031994564655,-122.42435204346944,flood,88.61226842408058) with a risk score of 88.61226842408058 which is above the threshold of 70.",37.8887190957112,-122.38256652965758,2023-01-01 07:21:00
fire in downtown,False,low,"There is no matching sensor data within the specified time and location that indicates a fire. However, the tweet does not contradict any available sensor data, so it cannot be definitively labeled as fake. The low confidence is due to the lack of direct evidence supporting the claim.",37.72364620832143,-122.4276780045976,2023-01-01 08:21:00
earthquake felt,False,high,"The tweet text matches the disaster type 'earthquake' and there is a seismic sensor reading with a risk score of 60.13 (>70), which falls under the rule that if a matching sensor has a risk score >70, the tweet is likely real.",37.74224159699167,-122.45815964212544,2023-01-01 19:40:00
flood near river,False,medium,"The tweet was posted at 23:26:00 and there is a flood sensor reading with a risk score of 70.04387450511823 at 23:34:00, which matches the tweet's timeframe within ±10 minutes and ~5 km. However, the risk score is just above the threshold of 70 required for high confidence.",37.79040957269279,-122.33894750693752,2023-01-01 23:26:00
evacuate Zone C,False,medium,"The tweet was posted at 00:04 on January 2nd, which is within ±10 minutes of the seismic sensor reading at 00:03 and a distance of approximately 5 km. The seismic sensor reading has a risk score of 98.56664060440032, which is above the threshold of 70, indicating a likely real tweet. However, the exact location of the disaster is not explicitly provided in the tweet, so the confidence level is medium.",37.83179258179502,-122.30859396819216,2023-01-02 00:04:00
evacuate Zone C,False,high,"The tweet was posted at 00:30:00 and there is a flood sensor reading of 77.8161344418968 at (37.43760388015826, -121.71465979361822) which is within the acceptable time and distance range (±10 minutes and ~5 km). The risk score of 77.8161344418968 exceeds the threshold of 70, indicating a high likelihood that this tweet is real.",37.85715585809098,-122.35098594829026,2023-01-02 00:30:00
earthquake felt,False,high,"The tweet text matches the disaster type 'earthquake'. The closest sensor with a matching disaster type (seismic) has a risk score of 81.4515948832949, which is above the threshold of 70. Therefore, the tweet is likely real.",37.70699749186674,-122.32708812394466,2023-01-02 00:58:00
evacuate Zone C,False,medium,"The tweet text suggests an evacuation order which aligns with a real disaster scenario. The closest matching sensor (flood) at 04:23:00 has a risk score of 64.55877643366325, slightly below the threshold of 70 required for high confidence. However, considering the nature of the tweet and the presence of flood sensors with elevated risk scores in the vicinity, it is reasonable to assume this tweet is likely real.",37.83155566248953,-122.4627285431237,2023-01-02 04:23:00
emergency in Zone A,False,low,"The closest matching sensor (seismic at 37.96642674501579,-121.8308627908166) has a risk score of 95.13696617695734 which is above the threshold of 70, but it's not within the ±10 minutes and ~5 km range. The other sensors do not provide enough evidence to confirm the tweet as real.",37.645845398389085,-122.49124980167056,2023-01-02 07:03:00
evacuate Zone C,False,medium,"The tweet is within the time range (±10 minutes) and proximity (~5 km) of a seismic sensor with a risk score >70. However, the risk score of 86.27658260543545 at 07:31:00 is slightly above the threshold of 70. Since there are no other matching sensors within the specified range that could confirm or deny the tweet's authenticity, we can only assume medium confidence.",37.765238508705295,-122.48124182683188,2023-01-02 07:41:00
fire in downtown,False,low,The closest matching sensor (seismic) has a risk score of 76.55479721506178 which is below the threshold of 70 required for a likely real tweet.,37.68399906859753,-122.4737033137774,2023-01-02 10:19:00
